1, ARI, @NO  
17, NE, @NYJ  
17, NO, @TEN  
17, NYG, @LV  
17, PHI, @BUF  
17, PIT, @CLE  
17, SEA, @CAR  
17, TB, @MIA  
18, ARI, @LAR  
18, BAL, @PIT  
18, CAR, @TB  
18, CLE, @CIN  
18, DAL, @NYG  
18, DET, @CHI  
18, GB, @MIN  
18, IND, @HOU  
18, KC, @LV  
18, LAC, @DEN  
18, MIA, @NE  
18, NO, @ATL  
18, NYJ, @BUF  
18, SEA, @SF  
18, TEN, @JAC  
18, WAS, @PHI  
